Short Film,genre,releaseyear,runtime,Director,SORTEDrating,IMDb,BGM,Video,ViewerEmotion,emopairBGM,emopairVideo,emopairViewer
Kheer,Romance,2017,7,Surya Balakrishnan,7.6,6.2,"['disgust', 'disgust', 'disgust', 'disgust', 'disgust', 'disgust', 'disgust', 'disgust', 'disgust']","['angry', 'happy', 'neutral', 'sad', 'fear', 'sad', 'fear', 'happy', 'sad']","['Joy', 'Love', 'Wonder', 'Joy', 'Joy', 'Joy', 'Joy', 'Joy', 'Joy', 'Joy', 'Peace']","{('disgust', 'disgust'): 8}","{('angry', 'happy'): 1, ('happy', 'neutral'): 1, ('neutral', 'sad'): 1, ('sad', 'fear'): 2, ('fear', 'sad'): 1, ('fear', 'happy'): 1, ('happy', 'sad'): 1}","{('Joy', 'Love'): 1, ('Love', 'Wonder'): 1, ('Wonder', 'Joy'): 1, ('Joy', 'Joy'): 6, ('Joy', 'Peace'): 1}"
Interior Cafe Night,"Drama, Romance",2014,13,Adhiraj Bose,7.3,7.6,"['disgust', 'angry', 'sad', 'calm', 'calm', 'disgust', 'sad', 'disgust', 'disgust', 'calm']","['angry', 'happy', 'angry', 'fear', 'sad', 'sad', 'angry', 'happy', 'sad', 'angry']","['Joy', 'Wonder', 'Joy', 'Sadness', 'Joy', 'Love', 'Sadness', 'Love', 'Sadness', 'Sadness', 'Joy']","{('disgust', 'angry'): 1, ('angry', 'sad'): 1, ('sad', 'calm'): 1, ('calm', 'calm'): 1, ('calm', 'disgust'): 1, ('disgust', 'sad'): 1, ('sad', 'disgust'): 1, ('disgust', 'disgust'): 1, ('disgust', 'calm'): 1}","{('angry', 'happy'): 2, ('happy', 'angry'): 1, ('angry', 'fear'): 1, ('fear', 'sad'): 1, ('sad', 'sad'): 1, ('sad', 'angry'): 2, ('happy', 'sad'): 1}","{('Joy', 'Wonder'): 1, ('Wonder', 'Joy'): 1, ('Joy', 'Sadness'): 1, ('Sadness', 'Joy'): 2, ('Joy', 'Love'): 1, ('Love', 'Sadness'): 2, ('Sadness', 'Love'): 1, ('Sadness', 'Sadness'): 1}"
Taandav,"Comedy, Drama",2016,11,Devashish Makhija,7.8,7.3,"['disgust', 'disgust', 'sad', 'calm', 'angry', 'sad', 'calm', 'surprised', 'disgust', 'surprised', 'disgust', 'angry', 'angry', 'calm', 'happy']","['sad', 'sad', 'neutral', 'sad', 'fear', 'neutral', 'happy', 'neutral', 'sad', 'happy', 'neutral', 'sad', 'neutral', 'neutral', 'sad']","['Joy', 'Wonder', 'Disgust', 'Wonder', 'Joy', 'Wonder', 'Sadness', 'Joy', 'Wonder', 'Wonder', 'Joy', 'Joy', 'Joy', 'Joy', 'Joy']","{('disgust', 'disgust'): 1, ('disgust', 'sad'): 1, ('sad', 'calm'): 2, ('calm', 'angry'): 1, ('angry', 'sad'): 1, ('calm', 'surprised'): 1, ('surprised', 'disgust'): 2, ('disgust', 'surprised'): 1, ('disgust', 'angry'): 1, ('angry', 'angry'): 1, ('angry', 'calm'): 1, ('calm', 'happy'): 1}","{('sad', 'sad'): 1, ('sad', 'neutral'): 2, ('neutral', 'sad'): 4, ('sad', 'fear'): 1, ('fear', 'neutral'): 1, ('neutral', 'happy'): 1, ('happy', 'neutral'): 2, ('sad', 'happy'): 1, ('neutral', 'neutral'): 1}","{('Joy', 'Wonder'): 3, ('Wonder', 'Disgust'): 1, ('Disgust', 'Wonder'): 1, ('Wonder', 'Joy'): 2, ('Wonder', 'Sadness'): 1, ('Sadness', 'Joy'): 1, ('Wonder', 'Wonder'): 1, ('Joy', 'Joy'): 4}"
Delivery Girl,Short,2019,12,Sreejone,7.3,0.0,"['sad', 'disgust', 'disgust', 'disgust', 'disgust', 'disgust', 'sad', 'disgust', 'disgust', 'calm', 'disgust', 'disgust', 'disgust']","['happy', 'happy', 'neutral', 'sad', 'happy', 'neutral', 'sad', 'neutral', 'happy', 'sad', 'sad', 'sad', 'sad']","['Wonder', 'Wonder', 'Neutral', 'Neutral', 'Peace', 'Neutral', 'Joy', 'Joy', 'Joy', 'Peace', 'Peace', 'Peace', 'Joy']","{('sad', 'disgust'): 2, ('disgust', 'disgust'): 7, ('disgust', 'sad'): 1, ('disgust', 'calm'): 1, ('calm', 'disgust'): 1}","{('happy', 'happy'): 1, ('happy', 'neutral'): 2, ('neutral', 'sad'): 2, ('sad', 'happy'): 1, ('sad', 'neutral'): 1, ('neutral', 'happy'): 1, ('happy', 'sad'): 1, ('sad', 'sad'): 3}","{('Wonder', 'Wonder'): 1, ('Wonder', 'Neutral'): 1, ('Neutral', 'Neutral'): 1, ('Neutral', 'Peace'): 1, ('Peace', 'Neutral'): 1, ('Neutral', 'Joy'): 1, ('Joy', 'Joy'): 2, ('Joy', 'Peace'): 1, ('Peace', 'Peace'): 2, ('Peace', 'Joy'): 1}"
Ahalya,Thriller,2015,14,Sujoy Ghosh,7.4,8.0,"['disgust', 'disgust', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'disgust', 'disgust', 'sad', 'disgust', 'sad', 'calm', 'calm']","['neutral', 'neutral', 'happy', 'neutral', 'sad', 'fear', 'neutral', 'sad', 'sad', 'angry', 'neutral', 'neutral', 'happy', 'angry', 'happy', 'fear', 'sad', 'neutral', 'sad', 'sad', 'neutral']","['Wonder', 'Wonder', 'Wonder', 'Joy', 'Love', 'Joy', 'Neutral', 'Joy', 'Wonder', 'Wonder', 'Wonder', 'Wonder', 'Neutral', 'Wonder', 'Wonder', 'Wonder', 'Love', 'Love', 'Wonder', 'Wonder', 'Joy']","{('disgust', 'disgust'): 2, ('disgust', 'calm'): 1, ('calm', 'calm'): 12, ('calm', 'disgust'): 1, ('disgust', 'sad'): 2, ('sad', 'disgust'): 1, ('sad', 'calm'): 1}","{('neutral', 'neutral'): 2, ('neutral', 'happy'): 2, ('happy', 'neutral'): 1, ('neutral', 'sad'): 3, ('sad', 'fear'): 1, ('fear', 'neutral'): 1, ('sad', 'sad'): 2, ('sad', 'angry'): 1, ('angry', 'neutral'): 1, ('happy', 'angry'): 1, ('angry', 'happy'): 1, ('happy', 'fear'): 1, ('fear', 'sad'): 1, ('sad', 'neutral'): 2}","{('Wonder', 'Wonder'): 8, ('Wonder', 'Joy'): 2, ('Joy', 'Love'): 1, ('Love', 'Joy'): 1, ('Joy', 'Neutral'): 1, ('Neutral', 'Joy'): 1, ('Joy', 'Wonder'): 1, ('Wonder', 'Neutral'): 1, ('Neutral', 'Wonder'): 1, ('Wonder', 'Love'): 1, ('Love', 'Love'): 1, ('Love', 'Wonder'): 1}"
Kriti,"Mystery, Thriller",2016,19,Shirish Kunder,7.8,7.2,"['calm', 'calm', 'calm', 'sad', 'calm', 'sad', 'calm', 'calm', 'calm', 'calm', 'calm', 'disgust', 'calm', 'calm', 'calm', 'calm', 'disgust', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm']","['neutral', 'sad', 'angry', 'neutral', 'sad', 'angry', 'angry', 'neutral', 'sad', 'sad', 'sad', 'angry', 'sad', 'sad', 'sad', 'angry', 'happy', 'angry', 'fear', 'sad', 'fear', 'neutral', 'sad']","['Wonder', 'Wonder', 'Fear', 'Wonder', 'Wonder', 'Wonder', 'Wonder', 'Wonder', 'Wonder', 'Neutral', 'Neutral', 'Fear', 'Wonder', 'Wonder', 'Joy', 'Fear', 'Joy', 'Wonder', 'Joy', 'Wonder', 'Joy', 'Wonder', 'Joy', 'Fear', 'Joy']","{('calm', 'calm'): 14, ('calm', 'sad'): 2, ('sad', 'calm'): 2, ('calm', 'disgust'): 2, ('disgust', 'calm'): 2}","{('neutral', 'sad'): 4, ('sad', 'angry'): 4, ('angry', 'neutral'): 2, ('angry', 'angry'): 1, ('sad', 'sad'): 4, ('angry', 'sad'): 1, ('angry', 'happy'): 1, ('happy', 'angry'): 1, ('angry', 'fear'): 1, ('fear', 'sad'): 1, ('sad', 'fear'): 1, ('fear', 'neutral'): 1}","{('Wonder', 'Wonder'): 7, ('Wonder', 'Fear'): 1, ('Fear', 'Wonder'): 2, ('Wonder', 'Neutral'): 1, ('Neutral', 'Neutral'): 1, ('Neutral', 'Fear'): 1, ('Wonder', 'Joy'): 4, ('Joy', 'Fear'): 2, ('Fear', 'Joy'): 2, ('Joy', 'Wonder'): 3}"
Aai Shapat,Drama,2017,15,Gautam Vaze,6.8,7.1,"['disgust', 'calm', 'calm', 'calm', 'angry', 'calm', 'calm', 'disgust', 'fearful', 'calm', 'calm', 'angry', 'neutral', 'sad', 'calm', 'calm', 'sad', 'calm']","['sad', 'neutral', 'sad', 'sad', 'sad', 'sad', 'neutral', 'sad', 'sad', 'fear', 'neutral', 'happy', 'neutral', 'neutral', 'sad', 'sad', 'sad', 'angry']","['Joy', 'Neutral', 'Neutral', 'Neutral', 'Joy', 'Wonder', 'Peace', 'Wonder', 'Joy', 'Joy', 'Joy', 'Peace', 'Joy', 'Neutral', 'Neutral', 'Wonder', 'Neutral', 'Peace', 'Peace']","{('disgust', 'calm'): 1, ('calm', 'calm'): 5, ('calm', 'angry'): 2, ('angry', 'calm'): 1, ('calm', 'disgust'): 1, ('disgust', 'fearful'): 1, ('fearful', 'calm'): 1, ('angry', 'neutral'): 1, ('neutral', 'sad'): 1, ('sad', 'calm'): 2, ('calm', 'sad'): 1}","{('sad', 'neutral'): 2, ('neutral', 'sad'): 3, ('sad', 'sad'): 6, ('sad', 'fear'): 1, ('fear', 'neutral'): 1, ('neutral', 'happy'): 1, ('happy', 'neutral'): 1, ('neutral', 'neutral'): 1, ('sad', 'angry'): 1}","{('Joy', 'Neutral'): 2, ('Neutral', 'Neutral'): 3, ('Neutral', 'Joy'): 1, ('Joy', 'Wonder'): 1, ('Wonder', 'Peace'): 1, ('Peace', 'Wonder'): 1, ('Wonder', 'Joy'): 1, ('Joy', 'Joy'): 2, ('Joy', 'Peace'): 1, ('Peace', 'Joy'): 1, ('Neutral', 'Wonder'): 1, ('Wonder', 'Neutral'): 1, ('Neutral', 'Peace'): 1, ('Peace', 'Peace'): 1}"
Chhuri,Drama,2017,12,Mansi Jain,7.6,7.0,"['angry', 'disgust', 'disgust', 'surprised', 'disgust', 'disgust', 'calm', 'calm', 'calm', 'calm', 'angry', 'calm', 'happy', 'disgust']","['fear', 'sad', 'fear', 'fear', 'happy', 'fear', 'neutral', 'angry', 'angry', 'neutral', 'neutral', 'sad', 'neutral', 'neutral']","['Neutral', 'Neutral', 'Neutral', 'Wonder', 'Wonder', 'Love', 'Joy', 'Neutral', 'Neutral', 'Wonder', 'Wonder', 'Joy', 'Joy', 'Joy', 'Joy', 'Joy']","{('angry', 'disgust'): 1, ('disgust', 'disgust'): 2, ('disgust', 'surprised'): 1, ('surprised', 'disgust'): 1, ('disgust', 'calm'): 1, ('calm', 'calm'): 3, ('calm', 'angry'): 1, ('angry', 'calm'): 1, ('calm', 'happy'): 1, ('happy', 'disgust'): 1}","{('fear', 'sad'): 1, ('sad', 'fear'): 1, ('fear', 'fear'): 1, ('fear', 'happy'): 1, ('happy', 'fear'): 1, ('fear', 'neutral'): 1, ('neutral', 'angry'): 1, ('angry', 'angry'): 1, ('angry', 'neutral'): 1, ('neutral', 'neutral'): 2, ('neutral', 'sad'): 1, ('sad', 'neutral'): 1}","{('Neutral', 'Neutral'): 3, ('Neutral', 'Wonder'): 2, ('Wonder', 'Wonder'): 2, ('Wonder', 'Love'): 1, ('Love', 'Joy'): 1, ('Joy', 'Neutral'): 1, ('Wonder', 'Joy'): 1, ('Joy', 'Joy'): 4}"
Chutney,"Comedy, Drama",2016,17,Jyoti Kapur Das,7.6,7.7,"['sad', 'sad', 'calm', 'surprised', 'disgust', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm']","['neutral', 'sad', 'fear', 'angry', 'angry', 'angry', 'angry', 'fear', 'happy', 'sad', 'sad', 'fear', 'happy', 'surprise', 'sad', 'neutral', 'neutral', 'angry', 'neutral', 'angry']","['Joy', 'Joy', 'Joy', 'Neutral', 'Joy', 'Joy', 'Neutral', 'Wonder', 'Joy', 'Joy', 'Joy', 'Joy', 'Joy', 'Wonder', 'Wonder', 'Neutral', 'Joy', 'Wonder', 'Joy', 'Joy']","{('sad', 'sad'): 1, ('sad', 'calm'): 1, ('calm', 'surprised'): 1, ('surprised', 'disgust'): 1, ('disgust', 'calm'): 1, ('calm', 'calm'): 14}","{('neutral', 'sad'): 1, ('sad', 'fear'): 2, ('fear', 'angry'): 1, ('angry', 'angry'): 3, ('angry', 'fear'): 1, ('fear', 'happy'): 2, ('happy', 'sad'): 1, ('sad', 'sad'): 1, ('happy', 'surprise'): 1, ('surprise', 'sad'): 1, ('sad', 'neutral'): 1, ('neutral', 'neutral'): 1, ('neutral', 'angry'): 2, ('angry', 'neutral'): 1}","{('Joy', 'Joy'): 8, ('Joy', 'Neutral'): 2, ('Neutral', 'Joy'): 2, ('Neutral', 'Wonder'): 1, ('Wonder', 'Joy'): 2, ('Joy', 'Wonder'): 2, ('Wonder', 'Wonder'): 1, ('Wonder', 'Neutral'): 1}"
Juice,"Drama, Fantasy",2017,15,Neeraj Ghaywan,8.0,8.5,"['calm', 'calm', 'calm', 'calm', 'calm', 'disgust', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'disgust', 'calm', 'calm']","['angry', 'sad', 'happy', 'sad', 'happy', 'sad', 'neutral', 'sad', 'neutral', 'sad', 'sad', 'neutral', 'sad', 'happy', 'happy', 'happy', 'sad', 'neutral']","['Joy', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Joy', 'Joy', 'Joy', 'Joy', 'Sadness', 'Neutral', 'Anger', 'Joy', 'Wonder', 'Wonder', 'Joy', 'Sadness']","{('calm', 'calm'): 13, ('calm', 'disgust'): 2, ('disgust', 'calm'): 2}","{('angry', 'sad'): 1, ('sad', 'happy'): 3, ('happy', 'sad'): 3, ('sad', 'neutral'): 4, ('neutral', 'sad'): 3, ('sad', 'sad'): 1, ('happy', 'happy'): 2}","{('Joy', 'Neutral'): 1, ('Neutral', 'Neutral'): 4, ('Neutral', 'Joy'): 1, ('Joy', 'Joy'): 3, ('Joy', 'Sadness'): 2, ('Sadness', 'Neutral'): 1, ('Neutral', 'Anger'): 1, ('Anger', 'Joy'): 1, ('Joy', 'Wonder'): 1, ('Wonder', 'Wonder'): 1, ('Wonder', 'Joy'): 1}"
Pencil Box,Drama,2020,30,Amit Sanouria,6.7,0.0,"['calm', 'calm', 'disgust', 'disgust', 'angry', 'disgust', 'calm', 'calm', 'angry', 'disgust', 'calm', 'calm', 'disgust', 'calm', 'disgust', 'disgust', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'fearful', 'calm', 'calm', 'happy', 'calm', 'sad', 'disgust', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'disgust', 'sad', 'calm']","['sad', 'angry', 'sad', 'fear', 'neutral', 'neutral', 'fear', 'neutral', 'neutral', 'angry', 'neutral', 'neutral', 'fear', 'angry', 'neutral', 'sad', 'sad', 'happy', 'angry', 'neutral', 'sad', 'happy', 'fear', 'sad', 'angry', 'angry', 'neutral', 'fear', 'fear', 'sad', 'fear', 'neutral', 'angry', 'angry', 'fear', 'neutral', 'fear', 'sad', 'neutral', 'neutral', 'sad', 'neutral']","['Peace', 'Joy', 'Joy', 'Joy', 'Joy', 'Joy', 'Neutral', 'Joy', 'Neutral', 'Joy', 'Joy', 'Joy', 'Peace', 'Neutral', 'Neutral', 'Neutral', 'Joy', 'Joy', 'Neutral', 'Joy', 'Joy', 'Neutral', 'Neutral', 'Sadness', 'Neutral', 'Sadness', 'Sadness', 'Sadness', 'Sadness', 'Neutral', 'Wonder', 'Sadness', 'Sadness', 'Neutral', 'Neutral', 'Sadness', 'Sadness', 'Neutral', 'Peace', 'Wonder', 'Joy', 'Sadness']","{('calm', 'calm'): 18, ('calm', 'disgust'): 4, ('disgust', 'disgust'): 2, ('disgust', 'angry'): 1, ('angry', 'disgust'): 2, ('disgust', 'calm'): 5, ('calm', 'angry'): 1, ('calm', 'fearful'): 1, ('fearful', 'calm'): 1, ('calm', 'happy'): 1, ('happy', 'calm'): 1, ('calm', 'sad'): 1, ('sad', 'disgust'): 1, ('disgust', 'sad'): 1, ('sad', 'calm'): 1}","{('sad', 'angry'): 2, ('angry', 'sad'): 1, ('sad', 'fear'): 2, ('fear', 'neutral'): 4, ('neutral', 'neutral'): 4, ('neutral', 'fear'): 4, ('neutral', 'angry'): 2, ('angry', 'neutral'): 4, ('fear', 'angry'): 1, ('neutral', 'sad'): 3, ('sad', 'sad'): 1, ('sad', 'happy'): 2, ('happy', 'angry'): 1, ('happy', 'fear'): 1, ('fear', 'sad'): 3, ('angry', 'angry'): 2, ('fear', 'fear'): 1, ('angry', 'fear'): 1, ('sad', 'neutral'): 2}","{('Peace', 'Joy'): 1, ('Joy', 'Joy'): 8, ('Joy', 'Neutral'): 4, ('Neutral', 'Joy'): 4, ('Joy', 'Peace'): 1, ('Peace', 'Neutral'): 1, ('Neutral', 'Neutral'): 4, ('Neutral', 'Sadness'): 3, ('Sadness', 'Neutral'): 4, ('Sadness', 'Sadness'): 5, ('Neutral', 'Wonder'): 1, ('Wonder', 'Sadness'): 1, ('Neutral', 'Peace'): 1, ('Peace', 'Wonder'): 1, ('Wonder', 'Joy'): 1, ('Joy', 'Sadness'): 1}"
Plus Minus,Drama,2018,18,Jyoti Kapur Das,7.0,8.6,"['sad', 'sad', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'disgust', 'calm', 'sad', 'angry', 'disgust', 'sad', 'calm', 'calm', 'calm']","['angry', 'sad', 'sad', 'sad', 'sad', 'neutral', 'neutral', 'sad', 'neutral', 'sad', 'neutral', 'angry', 'happy', 'neutral', 'sad', 'sad', 'happy', 'sad', 'sad']","['Neutral', 'Joy', 'Joy', 'Joy', 'Neutral', 'Neutral', 'Joy', 'Neytral', 'Joy', 'Calm', 'Neutral', 'Joy', 'Neutral', 'Joy', 'Neutral', 'Joy', 'Wonder', 'Wonder', 'Sadness', 'Joy']","{('sad', 'sad'): 1, ('sad', 'calm'): 2, ('calm', 'calm'): 9, ('calm', 'disgust'): 1, ('disgust', 'calm'): 1, ('calm', 'sad'): 1, ('sad', 'angry'): 1, ('angry', 'disgust'): 1, ('disgust', 'sad'): 1}","{('angry', 'sad'): 1, ('sad', 'sad'): 5, ('sad', 'neutral'): 3, ('neutral', 'neutral'): 1, ('neutral', 'sad'): 3, ('neutral', 'angry'): 1, ('angry', 'happy'): 1, ('happy', 'neutral'): 1, ('sad', 'happy'): 1, ('happy', 'sad'): 1}","{('Neutral', 'Joy'): 5, ('Joy', 'Joy'): 2, ('Joy', 'Neutral'): 3, ('Neutral', 'Neutral'): 1, ('Joy', 'Neytral'): 1, ('Neytral', 'Joy'): 1, ('Joy', 'Calm'): 1, ('Calm', 'Neutral'): 1, ('Joy', 'Wonder'): 1, ('Wonder', 'Wonder'): 1, ('Wonder', 'Sadness'): 1, ('Sadness', 'Joy'): 1}"
The School Bag,"Drama, Family",2017,16,Dheeraj Jindal,7.3,8.3,"['calm', 'calm', 'calm', 'calm', 'calm', 'calm', 'happy', 'calm', 'calm', 'calm', 'happy', 'disgust', 'disgust', 'sad', 'calm']","['fear', 'angry', 'happy', 'fear', 'angry', 'neutral', 'disgust', 'angry', 'angry', 'angry', 'angry', 'angry', 'neutral', 'angry', 'sad']","['Neutral', 'Neutral', 'Joy', 'Joy', 'Joy', 'Neutral', 'Neutral', 'Joy', 'Neutral', 'Joy', 'Joy', 'Joy', 'Neutral', 'Sadness', 'Wonder', 'Sadness']","{('calm', 'calm'): 7, ('calm', 'happy'): 2, ('happy', 'calm'): 1, ('happy', 'disgust'): 1, ('disgust', 'disgust'): 1, ('disgust', 'sad'): 1, ('sad', 'calm'): 1}","{('fear', 'angry'): 2, ('angry', 'happy'): 1, ('happy', 'fear'): 1, ('angry', 'neutral'): 2, ('neutral', 'disgust'): 1, ('disgust', 'angry'): 1, ('angry', 'angry'): 4, ('neutral', 'angry'): 1, ('angry', 'sad'): 1}","{('Neutral', 'Neutral'): 2, ('Neutral', 'Joy'): 3, ('Joy', 'Joy'): 4, ('Joy', 'Neutral'): 3, ('Neutral', 'Sadness'): 1, ('Sadness', 'Wonder'): 1, ('Wonder', 'Sadness'): 1}"
